Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/specs/list_doc.html,,,,,,,,,,,,,,,,,,,,,,,
Data URL,http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&base_name=Formicidae,,,,,,,,,,,,,,,,,,,,,,,
Access Time,Thu 2018-11-01 15:47:50 GMT,,,,,,,,,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,
,base_name,Formicidae,,,,,,,,,,,,,,,,,,,,,,
,timerule,major,,,,,,,,,,,,,,,,,,,,,,
,taxon_status,all,,,,,,,,,,,,,,,,,,,,,,
Elapsed Time,0.0764,,,,,,,,,,,,,,,,,,,,,,,
Records Found,850,,,,,,,,,,,,,,,,,,,,,,,
Records Returned,850,,,,,,,,,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,,,,,,,,,
specimen_no,record_type,flags,occurrence_no,reid_no,collection_no,specimen_id,is_type,specimen_side,specimen_part,specimen_sex,n_measured,measurement_source,magnification,comments,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,max_ma,min_ma,reference_no
19436,spm,,911782,0,,NSM-P1-7417,holotype,,forewing,,1,text,,,Aphaenogaster (Deromyrma) n. sp. avita,species,175208,recombined as,Paraphaenogaster avita,species,175208,15.97,13.82,34858
19443,spm,,911788,0,,UAF-GS1,,,wing,,1,text,,Estimate; tip of wing lost,Dolichoderinae indet.,subfamily,70729,,Dolichoderinae,subfamily,70729,7.246,5.333,34859
19444,spm,,911788,0,,UAS-GS20,,,wing,,1,text,,Estimate; tip of wing lost,Dolichoderinae indet.,subfamily,70729,,Dolichoderinae,subfamily,70729,7.246,5.333,34859
19445,spm,,911789,0,,UAF-GS19,,,wing,,1,text,,Estimate from incomplete specimen,Myrmicinae indet.,subfamily,70731,,Myrmicinae,subfamily,70731,7.246,5.333,34859
19446,spm,,911790,0,,UAF-GS23,,,forewing,,1,text,,Estimate from incomplete specimen,Aphaenogaster sp.,genus,71536,,Aphaenogaster,genus,71536,7.246,5.333,34859
19447,spm,,911791,0,,UAF-GS25,,,forewing,,1,text,,Estimate from incomplete specimen,Messor sp.,genus,175212,,Messor,genus,175212,7.246,5.333,34859
19962,spm,,915749,0,,SFU Q-0271,,,wing,,1,text,,"Based on wingspan of ""approximately 50 mm""",Formicidae indet.,family,70728,,Formicidae,family,70728,56,47.8,35069
